Swedish,English
jag,I
det,the
är,is
du,of
att,to
inte,not
en,in
och,and
har,hair
vi,we
på,on
i,i
för,for
han,he
med,with
som,as
om,about
var,was
vad,What
mig,me
här,here
dig,you
så,so
den,the
kan,able to
till,to
de,of
men,men
ett,one
ska,will
ni,in
av,of
hon,she
vill,wants
ja,and
vet,vet
nu,not
nej,her
bara,only
hur,how
min,min
kommer,comes
där,where
måste,must
honom,him
gör,make
din,FROM
skulle,would
när,when
då,then
kom,order
ha,ha
bra,Good
får,get
man,man
vara,be
oss,us
ut,out
ta,facing
er,is
göra,do
okej,okay
eller,or
hade,had
från,from
varför,why
dem,dem
alla,at the
tror,think
sig,themselves
allt,everything
henne,her
upp,up
sa,on
ingen,no
tack,tack
gå,go
in,in
igen,again
få,few
nåt,something
se,with
går,goes
mycket,very
hej,Hello
vem,he comes
kanske,perhaps
lite,a little
behöver,need
ser,to be
mitt,my
aldrig,never
finns,exists
än,than
inget,nothing
efter,after
blir,becomes
ju,right
hans,his
sen,its
bli,become
gjorde,did
två,two
nån,somebody
tillbaka,back
tar,takes
mer,more
något,something
över,over
säger,says
fick,got
ditt,your
ge,ge
väl,well
också,also
mina,mine
åt,at
nog,yet
fan,fan
kunde,could
år,year
säga,say
någon,any
mamma,mother
varit,been
ner,down
ville,would
vänta,wait
mot,against
pappa,dad
andra,Other
borde,should
känner,feel
rätt,Right
vid,at
några,a few
hela,whole
såg,SAW
hit,hit
prata,talk
komma,come
låt,song
detta,this
gjort,done
blev,became
själv,self
tog,took
alltid,always
vår,our
utan,without
fel,up
hem,both
mr,mr
dag,day
dina,ignoble
liv,life
menar,means
verkligen,really
visst,Certainly
va,and
förstår,understand
sin,sin
tid,time
trodde,thought
gick,went
älskar,love
sätt,way
berätta,tell
tänker,thinking
döda,kill
veta,Know
tre,Three
många,many
folk,folk
sluta,stop
precis,just
inga,no
hennes,her
titta,look
innan,before
visste,knew
gillar,like
barn,barn
bättre,better
hjälpa,help
under,under
förlåt,sorry
gång,walk
bort,away
hjälp,help
händer,happens
just,just
helt,quite
säg,say
tycker,think
första,first
död,death
håll,hold
länge,long
hör,hear
sett,set
ledsen,sorry
snälla,please
saker,things
hitta,find
fortfarande,still
står,stands
pengar,money
god,god
samma,same
sir,sir
ens,To us
ursäkta,excuse
heter,called
håller,holding
vilken,which
enda,end
gud,God
våra,ours
hand,hand
borta,away
mår,feel
hallå,Hello
hände,hands
ur,ur
problem,problem
vän,Friend
ger,gives
stanna,stay
sak,Thing
dom,dom
försöker,trying
låter,allows
far,far
kvar,left
väg,way
annan,Other
redan,already
längre,longer
jävla,fucking
helvete,hell
pratar,talking
väldigt,very
åh,Oh
herregud,Oh my God
vart,lasted
dit,it
kväll,Evening
morgon,morning
fått,received
snart,soon
ute,out
fråga,question
sitt,his
tiden,the time
kör,drive
deras,their
tänkte,thought
namn,name
verkar,seems
tro,believe
jo,because
varje,each
fram,forward
bästa,top
fru,wife
först,first
träffa,hit
säkert,for sure
slut,final
sedan,since
hos,with
ingenting,nothing
därför,because
åka,go
visa,visa
säker,sure
lämna,leave
börjar,begins
vägen,the road
genom,by
gav,gave
härifrån,from here
jobb,right
hålla,keep
son,son
stor,big
vänner,friends
hittade,found
annat,Other
hoppas,hope
sina,theirs
hörde,heard
vilket,which
kolla,check
minns,remember
ihop,Together
rädd,afraid
sista,last
även,also
era,era
sex,sex
vårt,ours
kunna,be able to
ses,his
del,of the
nästa,Next
fem,five
livet,life
nya,her
människor,people
bilen,with
dö,die
riktigt,really
klarar,able to
höra,hear
tills,until
liten,small
betyder,means
tänk,think
tag,tag
lyssna,listen
polisen,the police
ändå,still
sagt,says
hemma,home
sant,saint
världen,the world
fast,fast
faktiskt,actually
ligger,lies
skit,skit
idag,today
minuter,minutes
familj,family
runt,around
blivit,become
klart,clear
fall,fall
väntar,waiting
dog,dog
fyra,four
dra,wear
dollar,dollar
åker,goes
kul,cool
tala,story
illa,badly
män,men
försökte,tried
dödade,killed
helst,preferably
annars,otherwise
haft,had
sånt,that kind of thing
nästan,almost
ensam,alone
inne,other
lika,equal
lägg,put
hittar,finds
redo,redo
hämta,retrieve
jobbar,works
dr,dr
gången,the time
båda,both
ny,the
denna,this one
stora,large
plats,place
tur,should
börja,start
svårt,difficult
lugnt,calmly
långt,far
spelar,plays
kvinna,woman
känns,feels
älskling,Darling
hänt,happened
bil,was
emot,against
låta,sound
tillsammans,together
öppna,Open
släpp,release
hört,heard
huset,the House
senare,later
bror,Brother
ringer,ringer
lilla,small
be,be
rör,pipe
ibland,sometimes
rädda,save
heller,rather
fort,fort
glad,glad
gått,walked
mellan,between
nära,close
ifrån,from
hus,House
vore,were
igenom,through
fler,more
s,s
kände,felt
vilka,which
dotter,daughter
bryr,care
dagar,days
kille,boy
tänka,think
bor,there is
fattar,understand
gärna,gladly
fanns,existed
ber,to
började,began
killen,the guy
sitter,sitting
slå,beat
ännu,yet
tio,that
trevligt,nice
vilja,will
gott,good
spela,play
bäst,best
chans,chance
gånger,times
varandra,each other
timmar,hours
lever,lever
pengarna,the money
äta,eat
handlar,trades
natt,night
rum,rum
klara,done
mor,Mr
gamla,old
ord,word
ihåg,remember
reda,ready
ringa,hands
mannen,men
ert,are
dags,time of day
bakom,behind
eftersom,since
gammal,old
jobbet,worked
dörren,the door
fara,go
känna,feel
dessa,these
all,all
dör,dies
sån,like that
par,about
bad,bad
hjälper,helps
alls,all
tyst,silent
egen,own
kommit,arrived
ringde,called
dagen,to dawn
klar,clear
galen,galen
stan,stan
leva,he takes
syster,Sister
oroa,worry
mat,along with
vapen,arms
john,john
ring,ring
skull,skull
idé,idea
stället,the place
antar,between
tagit,taken
vadå,what
sätta,put
stå,stand
mrs,mrs
jaså,Oh really
berättade,told
ganska,quite
följer,follows
klockan,the clock
tidigare,earlier
hittat,found
följa,follow
räcker,is enough
fint,fine
lätt,easy
försöka,try
jack,jack
lång,long
lovar,promises
förut,before
jobba,work
självklart,obvious
skolan,school
iväg,away
letar,looking
ikväll,tonight
flera,several
försök,attempt
mest,most
nytt,new
direkt,Immediately
kvinnor,women
månader,months
utanför,outside
stannar,stops
sanningen,the truth
stämmer,correct
lämnade,left
stort,large
lär,learn
dödar,kills
stoppa,stop
pratade,talked
talar,speaking
ben,ben
new,new
undan,away
plan,plan
killar,boys
roligt,funny
flytta,move
blod,blood
perfekt,perfect
lära,teach
vatten,water
val,val
skicka,send
hatar,hate
kallar,calls
föräldrar,parents
flicka,girl
vidare,further
före,before
lita,liters
köra,drive
skynda,hurry
alltså,in other words
uppe,up
gäller,applies
använda,use
ont,have
huvudet,the head
ursäkt,excuse
glöm,forget
medan,while
betala,pay
önskar,wish
fin,END
herr,Mr
sent,sent
miss,miss
nere,mine
igår,yesterday
kapten,captain
kärlek,Love
roll,roll
behövde,needed
imorgon,tomorrow
kalla,call
arg,arg
lugn,quiet
natten,the night
lämnar,leaves
viktigt,important
sidan,page
tjej,girl
the,the
fortsätt,continue
vacker,beautiful
hända,happen
köpa,buy
kompis,buddy
inom,within
idiot,idiot
satt,sat
full,full
jaha,yes
sätter,sets
vissa,certain
drar,pulls
tyvärr,unfortunately
nummer,number
tja,there
lägga,lay
skriva,write
sova,sleep
förstå,Understand
snäll,kind
veckor,weeks
älskade,beloved
visar,shows
saken,the case
snabbt,Quickly
tyckte,thought
ställe,place
gifta,married
mindre,less
enligt,according to
undrar,wondering
tänkt,thought
sida,like
tittar,watching
resten,the rest
konstigt,strange
äter,eats
vecka,week
ok,ok
typ,type
hjärta,heart
frågor,questions
misstag,mistake
grund,reason
skydda,protect
låg,low
följ,follow
absolut,absolutely
förklara,explain
lät,sounded
svara,weight
familjen,the family
nå,now
nånsin,sometime
själva,themselves
berättar,tells
ögon,eyes
möjligt,possible
välkommen,Welcome
varsågod,You are welcome
slår,hits
sköt,shot
goda,good
lugna,calm
kort,Map
person,person
hårt,hard
sitta,sit
pojke,boy
höll,held
otroligt,unbelievable
allihop,all of them
fortsätta,continue
tom,tom
skyldig,guilty
använder,uses
träffas,meet
sju,seven
toppen,the top
barnen,the children
träffade,met
exakt,exactly
tillräckligt,enough
värre,worse
egentligen,actually
lycka,happiness
historia,history
skrev,wrote
stod,stood
fungerar,works
fixa,fixed
åkte,went
jobbat,worked
saknar,missing
större,major
någonsin,ever
såna,those
massa,pasta
bör,should
slog,slog
hoppa,jump
senaste,latest
små,small
kropp,body
brukar,usually
förrän,before
bo,be
trött,tired
grabben,the guy
miljoner,million
sjuk,ill
hämtar,picks up
förra,last
kära,dear
käften,the jaw
stick,stick
hälsa,health
hemskt,terrible
sägs,is said
aning,idea
gift,gift
frågar,asks
dum,while
skada,damage
dåligt,badly
frågade,asked
inför,infront of
bevis,evidence
lägger,puts
kaffe,coffee
middag,afternoon
oj,oj
dess,its
synd,sin
behöva,need
skjuta,shoot
förbi,past
charlie,charlie
åtta,eight
york,york
order,order
leta,years
slutar,ends
någonting,anything
igång,started
strax,immediately
framför,in front
skall,shall
polis,police
annorlunda,different
ögonblick,moment
läget,the mode
ofta,Often
sam,himself
dricka,drink
tjänst,service
chefen,the boss
jorden,the earth
början,beginning
la,the
enkelt,easy
ung,that
olika,various
stund,while
läsa,read
arbete,work
resa,trip
david,david
land,land
skickade,sent
eget,own
brukade,used to
riktig,correct
betalar,pays
agent,agent
orolig,worried
mord,murder
söker,searching
frank,frank
råd,advice
dålig,bad
sticker,sticker
må,must
funkar,works
tvungen,forced
skriver,write
krig,war
joe,joe
egna,own
huvud,head
händerna,the hands
överallt,everywhere
smart,smart
herrar,gentlemen
usa,deer
spring,spring
george,george
timme,hour
fortsätter,continues
samtal,Call
ansikte,face
beklagar,regrets
jävel,son of a bitch
ställa,put
allvar,seriousness
kvällen,the evening
svar,response
telefon,phone
slåss,fight
rummet,the room
menade,meant
särskilt,particularly
doktorn,the doctor
läkare,Doctor
finnas,be
landet,the country
a,a
ljuger,lies
ögonen,the eyes
barnet,the child
fixar,fix
största,largest
förr,before
nånting,something
tv,tv
mike,mike
vinna,win
glömde,forgot
människa,person
körde,drove
staden,the city
herre,Mister
satte,set
veckan,the week
lyssnar,listening
sover,so far
fantastiskt,fantastic
chef,chef
trots,despite
kvinnan,the woman
omkring,around
åtminstone,at least
fängelse,prison
flickan,the girl
förlorade,lost
michael,michael
räddade,saved
köpte,bought
trevlig,nice
värld,world
berättat,told
information,information
passar,to spend
äntligen,finally
stark,stark
fri,fri
problemet,the problem
hund,dog
nånstans,somewhere
andas,breathe
skaffa,get
förlora,lose
behövs,is needed
älska,love
skickar,sends
rätta,correct
allvarligt,seriously
röra,move
uppfattat,Roger
kallas,is called
kroppen,the body
kriget,the war
max,max
peter,peter
träffat,met
kläder,clothes
släppa,drop
fart,fart
advokat,lawyer
istället,instead
rakt,straight
frågan,the question
allting,everything
ned,down
hel,whole
skjuter,shoots
skiten,the shit
gett,given
sjukhuset,the hospital
skjut,shoot
fred,fred
vita,life
lnte,lnte
fbi,fbi
litar,circuit
sälja,sell
dan,and
gillade,liked
svart,black
bär,berries
sättet,the way
lycklig,happy
intressant,interesting
förutom,except
pratat,talked
tjejer,girls
naturligtvis,of course
kollar,checking
nyheter,news
personer,people
tjejen,the girl
jösses,Crikey
sekunder,seconds
levande,live
arbetar,working
guds,God's
vinner,winner
pågår,ongoing
försiktig,careful
planet,planet
vattnet,the water
stolt,proud
fallet,the case
tacka,thank
mördare,killer
döden,death
meddelande,message
javisst,sure
beslut,decision
förtjänar,deserve
james,james
öl,oil
kontor,office
flesta,most
raring,raring
anledning,reason
mark,mark
bland,among
vänster,left
litet,small
pojken,the boy
tidigt,early
skojar,joking
vakna,wake up
film,film
plötsligt,suddenly
jättebra,great
snygg,handsome
knappt,hardly
slutet,the end
hår,hair
försvann,disappeared
fest,fest
möte,Meeting
riktiga,real ones
eld,eld
skål,Cheers
l,l
försökt,tried
lärde,learned
nio,nine
affärer,business
hjälpte,helped
ers,ers
snackar,talking
underbart,wonderfully
känt,known
tredje,third
damer,ladies
bok,Book
dödat,killed
djur,animal
farbror,uncle
både,both
visade,showed
oh,oh
skönt,nice
ordna,arrange
duktig,good
president,president
morse,morse
delar,parts
grattis,Congratulations
jobbade,worked
tydligen,apparently
kontakt,contact
farligt,dangerous
alldeles,Right
omöjligt,impossible
träffar,hits
e,It is
höger,Right
världens,of the world
spel,game
mål,goal
låtsas,pretend
glömma,forget
